caminho,tipo,linhas,camada,status,tags,proposito
.env.example,config,27,infra,active,,Variáveis de ambiente modelo
.gitignore,config,53,infra,active,,Regras de exclusão do git
CLAUDE.md,doc,79,infra,active,startup-critico,Regras do projeto para desenvolvimento assistido
LICENSE,doc,22,infra,active,,Licença GPL-3.0
README.md,doc,145,infra,active,,Documentação pública do projeto
install.sh,script,282,infra,active,startup-critico,Instalação idempotente do projeto
uninstall.sh,script,192,infra,active,,Desinstalação com confirmações
pyproject.toml,config,119,infra,active,startup-critico,Metadata do projeto e dependências
requirements.txt,config,56,infra,active,,Dependências Python (espelho do pyproject.toml)
assets/controle-de-bordo.desktop,config,11,infra,active,,Lançador de aplicação freedesktop
.claude/settings.json,config,31,infra,active,,Hooks e configuração do ambiente de desenvolvimento
.claude/hooks/check_registry.sh,script,59,infra,active,,Hook bloqueante: verifica REGISTRY.csv
.claude/hooks/check_accentuation.sh,script,92,infra,active,,Hook de verificação de acentuação PT-BR
.claude/hooks/check_accentuation.sh,script,92,infra,active,,Hook de verificação de acentuação PT-BR
scripts/hooks/remove_coauthor.sh,script,20,infra,active,,Hook commit-msg: remove trailers de co-autoria
configs/default.toml,config,86,infra,active,,Configuração padrão do sistema
configs/categories.toml,config,86,dominio,active,,Mapeamento de categorias financeiras por palavras-chave
docs/ARQUITETURA.md,doc,112,doc,active,,Visão geral da arquitetura hexagonal e stack
docs/CONTRIBUINDO.md,doc,156,doc,active,,Guia de contribuição para desenvolvedores
docs/DESKTOP.md,doc,131,doc,active,,Documentação de automação desktop Pop!_OS
docs/FINANCAS.md,doc,139,doc,active,,Documentação do módulo financeiro
docs/INTEGRACAO_LUNA.md,doc,116,doc,active,,Plano de integração futura com Luna
docs/MOBILE.md,doc,126,doc,active,,Documentação de integração Android
Arquitetura Modular para IA Local.md,doc,368,doc,active,referência,Documento original de concepção do projeto
Automação de Vida com IA em Python.md,doc,220,doc,active,referência,Documento original de concepção do projeto
Planejamento de Vida com IA Local.md,doc,208,doc,active,referência,Documento original de concepção do projeto
src/__init__.py,source,0,infra,active,,Pacote raiz
src/domain/__init__.py,source,0,dominio,active,,Pacote domínio
src/domain/entities/__init__.py,source,37,dominio,active,hub,Re-exports de todas as entidades
src/domain/entities/transaction.py,source,89,dominio,active,,Entidade Transação financeira
src/domain/entities/bill.py,source,79,dominio,active,,Entidade Conta a pagar
src/domain/entities/goal.py,source,107,dominio,active,,Entidade Meta com KPIs
src/domain/entities/habit.py,source,86,dominio,active,,Entidade Hábito com streak
src/domain/entities/health_record.py,source,82,dominio,active,,Entidade Registro de saúde
src/domain/entities/study_session.py,source,57,dominio,active,,Entidade Sessão de estudo
src/domain/ports/__init__.py,source,0,dominio,active,,Pacote ports
src/domain/ports/storage.py,source,52,dominio,active,hub,Interface IStorage para persistência
src/domain/ports/notifier.py,source,37,dominio,active,,Interface INotifier para notificações
src/domain/ports/ai_provider.py,source,35,dominio,active,,Interface IAIProvider para provedores de IA
src/domain/ports/bank_importer.py,source,48,dominio,active,,Interface IBankImporter para parsers de extrato
src/domain/services/__init__.py,source,0,dominio,active,,Pacote serviços de domínio
src/domain/services/categorizer.py,source,0,dominio,active,,Categorização automática de transações por palavras-chave
src/domain/services/config_loader.py,source,0,dominio,active,,Carregamento de configuração TOML
src/domain/services/financial_engine.py,source,227,dominio,active,hub,Motor financeiro - categorização e resumos
src/domain/services/impulse_filter.py,source,190,dominio,active,,Motor de fricção anti-impulso
src/domain/services/goal_tracker.py,source,110,dominio,active,,Tracker de metas com projeções
src/domain/services/macro_indicators.py,source,131,dominio,active,,Indicadores macro BR (Selic IPCA CDI)
src/domain/services/nudge_engine.py,source,207,dominio,active,,Motor de nudges comportamentais
src/adapters/__init__.py,source,0,infra,active,,Pacote adaptadores
src/adapters/storage/__init__.py,source,0,infra,active,,Pacote storage
src/adapters/storage/sqlite_adapter.py,source,286,infra,active,hub;startup-critico,Adaptador SQLite com WAL mode
src/adapters/importers/__init__.py,source,0,infra,active,,Pacote importadores bancários
src/adapters/importers/nubank_csv.py,source,106,infra,active,,Parser CSV do Nubank
src/adapters/importers/ofx_parser.py,source,115,infra,active,,Parser OFX genérico
src/adapters/notifiers/__init__.py,source,0,infra,active,,Pacote notificadores (a implementar)
src/adapters/ai/__init__.py,source,0,infra,active,,Pacote provedores de IA (a implementar)
src/adapters/desktop/__init__.py,source,0,infra,active,,Pacote automação desktop (a implementar)
src/events/__init__.py,source,0,orquestração,active,,Pacote event bus
src/events/bus.py,source,99,orquestração,active,hub,Event bus pub/sub tipado
src/events/events.py,source,112,orquestração,active,,Definições de eventos Pydantic
src/ui/__init__.py,source,0,apresentação,active,,Pacote UI Flet (a implementar)
src/ui/pages/__init__.py,source,0,apresentação,active,,Pacote páginas Flet (a implementar)
src/ui/components/__init__.py,source,0,apresentação,active,,Pacote componentes Flet (a implementar)
src/mobile/__init__.py,source,0,infra,active,,Pacote ponte Android (a implementar)
src/cli/__init__.py,source,0,apresentação,active,,Pacote CLI
src/cli/main.py,source,332,apresentação,active,hub,CLI Typer completa com todos os comandos
tests/__init__.py,source,0,teste,active,,Pacote testes
